"UID","Xsugg","Ysugg","Type","Unit","Walker","Pass_Grid","Section","ObjNo","Object","Material","MaxSize","Comments","MN-LN","FN-EB1","EB2","FMin","FPal","SPal","TPal","PPal-PG","Geometric","Archaic","Class","Hell","ERom","MRom","LRom","EByz","MByz","EVen","MVen","LVen","Recent","Other","TOTAL"
"4312-28-1-35-O1",707271.10,3973921.60,"tract","4312",28,"1","35",1,"lump","slag",2.50,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4312-29-1-15-O1",707312.40,3973914.70,"tract","4312",29,"1","15",1,"lump","slag",3.80,"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4313-20-1-15-O1",707275.60,3973961.30,"tract","4313",20,"1","15",1,"lump","slag",10.00,"280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4313-20-1-5-O1",707278.60,3973946.80,"tract","4313",20,"1","5",1,"lump","slag",4.50,"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4313-20-1-5-O2",707279.00,3973946.30,"tract","4313",20,"1","5",2,"lump","slag",2.50,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4313-20-1-5-O3",707277.60,3973946.70,"tract","4313",20,"1","5",3,"lump","slag",2.40,"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4313-20-1-5-O4",707278.70,3973946.30,"tract","4313",20,"1","5",4,"lump","slag",6.00,"155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4313-28-1-25-O1",707248.50,3973969.60,"tract","4313",28,"1","25",1,"lump","slag",6.50,"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4313-28-1-25-O2",707250.60,3973960.20,"tract","4313",28,"1","25",2,"lump","slag",8.50,"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4313-28-1-45-O1",707245.00,3973988.10,"tract","4313",28,"1","45",1,"lump","slag",6.20,"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4313-29-1-25-O1",707300.40,3973967.80,"tract","4313",29,"1","25",1,"lump","slag",13.80,"745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4314-20-1-45-O1",707260.40,3974043.00,"tract","4314",20,"1","45",1,"quern","extrusive igneous stone",8.80,"two flat surfaces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4314-27-1-15-O1",707253.70,3974004.20,"tract","4314",27,"1","15",1,"lump","slag",6.90,"145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4315-29-1-15-O1",707279.20,3974074.70,"tract","4315",29,"1","15",1,"lump","slag",9.50,"185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4315-29-1-5-O1",707283.10,3974056.20,"tract","4315",29,"1","5",1,"lump","slag",4.80,"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4318-27-1-35-O1",707188.10,3974148.00,"tract","4318",27,"1","35",1,"roof tile?","limestone",7.50,"chamfered edge",0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,30,10,100
"4328-27-1-25-O1",707345.90,3973975.70,"tract","4328",27,"1","25",1,"lump","slag",2.60,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4328-27-1-45-O1",707349.40,3973956.70,"tract","4328",27,"1","45",1,"lump","slag",4.90,"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"57-g1-O1",710015.00,3976855.00,"grab",,57,,,1,"lump","glass",3.00,"irregular lump which could be perhaps glass slag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"57-g2-O1",707130.00,3973020.00,"grab",,57,,,1,"projectile","iron",6.50,,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,20,100
"57-g2-O2",710125.00,3967136.00,"grab",,57,,,2,"waster?","unknown",6.20,"possibly vitrified pottery?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"6065-3945-S-1",706065.50,3973942.50,"grid","6065-3945",28,"29","S",1,"lump","slag",2.80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
