"UID","Xsugg","Ysugg","Type","Unit","Walker","PassGrid","Section","FragNo","Material","MatSimple","PrimBlank","SecBlank","Length","Thickness","Width","ToolType","SubType","BifaceComp","ProjNotes"
"8885-1605-S-L1031",708886.7,3971609,"grid","8885-1605",69,3,"S",1031,"o","o","core","bipolar core",26,5.9,12.5,"n","","",""
"8885-1605-S-L1032",708883.3,3971600.5,"grid","8885-1605",69,3,"S",1032,"o","o","flake","broken flake",12.8,1.7,10.3,"n","","",""
"8885-1605-S-L1033",708889,3971602.3,"grid","8885-1605",69,3,"S",1033,"o","o","chip","chip",8.1,2.2,7.4,"n","","",""
"8885-1605-S-L1034",708889.6,3971603.5,"grid","8885-1605",69,3,"S",1034,"o","o","shatter","shatter",10.8,2.9,6.1,"n","","",""
"8885-1605-S-L1035",708882.8,3971608,"grid","8885-1605",69,3,"S",1035,"o","o","shatter","shatter",10.3,3.2,6.1,"n","","",""
"8885-1605-S-L1036",708880,3971608.2,"grid","8885-1605",69,3,"S",1036,"o","o","flake","flake",10.8,3.5,12.1,"n","","",""
"8885-1605-S-L1037",708886.6,3971602.7,"grid","8885-1605",69,3,"S",1037,"o","o","flake","flake fragment",19.4,5.6,13.9,"retouched flake","invasive","",""
"8885-1605-S-L1038",708884.6,3971608.5,"grid","8885-1605",69,3,"S",1038,"o","o","core","bipolar core",17.8,6.3,17,"pe","pe","",""
"8885-1605-S-L1039",708888.2,3971608.4,"grid","8885-1605",69,3,"S",1039,"o","o","core","bipolar core",15.9,5.2,7.4,"other retouched tools","burin?","",""
"8885-1605-S-L1040",708883.6,3971600.1,"grid","8885-1605",69,3,"S",1040,"wc","c","flake","flake",27.6,8.1,17.4,"flake scraper","scraper","",""
"8885-1605-S-L1041",708889.2,3971608.7,"grid","8885-1605",69,3,"S",1041,"wc","c","flake","flake fragment",21.4,4.3,15.2,"n","","",""
"8885-1605-S-L1042",708889.1,3971607.8,"grid","8885-1605",69,3,"S",1042,"wc","c","core","flake core fragment",14.4,8.2,14.4,"n","","",""
"8885-1605-S-L1043",708881.1,3971606.2,"grid","8885-1605",69,3,"S",1043,"wc","c","core","bipolar core",20.9,7.2,12.8,"other retouched tools","burin?","",""
"8885-1615-V-L1009",708888.1,3971611.7,"grid","8885-1615",69,3,"V",1009,"wc","c","shatter","shatter",18.7,8.9,10.2,"n","","",""
"8885-1625-S-L1045",708882.4,3971629.8,"grid","8885-1625",69,3,"S",1045,"o","o","shatter","shatter",10.6,4.8,6.9,"n","","",""
"8895-1575-S-L1180",708891.5,3971574,"grid","8895-1575",45,3,"S",1180,"o","o","blade","blade segment",15.5,3.6,14.2,"n","","",""
"8895-1575-S-L1181",708893.9,3971573.7,"grid","8895-1575",45,3,"S",1181,"o","o","shatter","shatter",10.8,4.1,11.11,"n","","",""
"8895-1575-S-L1182",708893,3971577.3,"grid","8895-1575",45,3,"S",1182,"o","o","flake","broken flake",8.2,2,11.8,"n","","",""
"8895-1575-S-L1183",708896.2,3971576.8,"grid","8895-1575",45,3,"S",1183,"o","o","flake","flake",13.3,1.5,8.2,"n","","",""
"8895-1575-V-L1187",708891.2,3971573.7,"grid","8895-1575",45,3,"V",1187,"wc","c","flake","flake fragment",22.4,10.3,19.2,"n","","",""
"8895-1575-V-L1188",708890.5,3971576,"grid","8895-1575",45,3,"V",1188,"wc","c","flake","flake fragment",12.5,6.1,16.7,"n","","",""
"8895-1575-V-L1189",708890.6,3971570.1,"grid","8895-1575",45,3,"V",1189,"o","o","flake","broken flake",10.3,2.8,13.8,"n","","",""
"8895-1575-V-L1190",708898.8,3971575.5,"grid","8895-1575",45,3,"V",1190,"o","o","shatter","shatter",8.3,2.5,6.6,"n","","",""
"8895-1585-V-L1061",708893.4,3971587.4,"grid","8895-1585",45,3,"V",1061,"o","o","shatter","shatter",16.7,4.8,10.5,"n","","",""
"8895-1585-V-L1062",708890.6,3971583.5,"grid","8895-1585",45,3,"V",1062,"o","o","flake","broken flake",12.9,2.7,12.5,"n","","",""
"8895-1585-V-L1063",708892.2,3971589.6,"grid","8895-1585",45,3,"V",1063,"o","o","flake","flake fragment",10.5,2.4,8.3,"n","","",""
"8895-1585-V-L1064",708896.4,3971582.7,"grid","8895-1585",45,3,"V",1064,"o","o","shatter","shatter",12.9,3.6,11.3,"pe","pe","",""
"8895-1595-S-L1080",708897.4,3971594,"grid","8895-1595",45,3,"S",1080,"o","o","blade","blade segment",25.7,4.3,11.2,"retouched blade","marginal","",""
"8895-1595-S-L1081",708896,3971599.9,"grid","8895-1595",45,3,"S",1081,"wc","c","flake","flake",28.1,14.1,26.5,"flake scraper","scraper","",""
"8895-1595-S-L1126",708896.6,3971593.8,"grid","8895-1595",45,3,"S",1126,"wc","c","shatter","shatter",23.1,17.1,42.5,"n","","",""
"8895-1595-S-L1127",708895,3971594.8,"grid","8895-1595",45,3,"S",1127,"wc","c","flake","broken flake",16.2,6.2,16.8,"n","","",""
"8895-1595-S-L1128",708899.3,3971595.8,"grid","8895-1595",45,3,"S",1128,"wc","c","flake","flake fragment",22.4,5.7,8.5,"n","","",""
"8895-1595-S-L1129",708893.6,3971595,"grid","8895-1595",45,3,"S",1129,"o","o","core","bipolar core fragment",15,5.1,7.2,"n","","",""
"8895-1595-S-L1130",708894.2,3971594.2,"grid","8895-1595",45,3,"S",1130,"o","o","flake","flake fragment",15.9,3,7.4,"n","","",""
"8895-1595-S-L1131",708892.6,3971598.1,"grid","8895-1595",45,3,"S",1131,"o","o","flake","flake fragment",13,3.3,10.6,"retouched flake","marginal","",""
"8895-1595-S-L1132",708891.4,3971592.7,"grid","8895-1595",45,3,"S",1132,"o","o","flake","broken flake",9,1.9,7,"n","","",""
"8895-1595-S-L1133",708898.4,3971591.5,"grid","8895-1595",45,3,"S",1133,"o","o","blade","proximal blade segment",7.3,2.7,7.6,"n","","",""
"8895-1595-S-L1134",708893.5,3971595.9,"grid","8895-1595",45,3,"S",1134,"o","o","flake","flake",8.1,1.2,5.4,"n","","",""
"8895-1595-S-L1135",708896.2,3971595.6,"grid","8895-1595",45,3,"S",1135,"o","o","flake","flake fragment",7,1.5,4.5,"n","","",""
"8895-1605-S-L1091",708891.9,3971600.6,"grid","8895-1605",45,3,"S",1091,"wc","c","flake","flake",32.6,12.6,17.6,"n","","",""
"8895-1605-S-L1092",708898.1,3971602.8,"grid","8895-1605",45,3,"S",1092,"o","o","flake","flake fragment",20.9,2.7,15.4,"n","","",""
"8895-1605-S-L1093",708892.5,3971604.9,"grid","8895-1605",45,3,"S",1093,"o","o","shatter","shatter",15,4.5,9.9,"n","","",""
"8895-1605-S-L1094",708895,3971608.8,"grid","8895-1605",45,3,"S",1094,"o","o","flake","flake fragment",20.2,3.9,9.1,"n","","",""
"8895-1605-S-L1095",708890.4,3971605.1,"grid","8895-1605",45,3,"S",1095,"o","o","flake","flake fragment",12.5,4.3,8,"n","","",""
"8895-1605-V-L1084",708899.7,3971609.2,"grid","8895-1605",45,3,"V",1084,"o","o","flake","flake fragment",13.1,3.4,17.9,"flake scraper","scraper","",""
"8895-1605-V-L1085",708893.7,3971606.7,"grid","8895-1605",45,3,"V",1085,"o","o","blade","blade segment",11.9,2.9,11.4,"n","","",""
"8895-1605-V-L1086",708891.4,3971603.2,"grid","8895-1605",45,3,"V",1086,"o","o","flake","flake fragment",10.7,2.6,6.1,"n","","",""
"8895-1605-V-L1087",708893.5,3971600.9,"grid","8895-1605",45,3,"V",1087,"wc","c","flake","flake",19.5,7.8,25.6,"n","","",""
"8895-1615-S-L1010",708893.1,3971613.2,"grid","8895-1615",45,3,"S",1010,"o","o","shatter","shatter",14.8,5.8,6.4,"n","","",""
"8895-1615-S-L1011",708897.1,3971618,"grid","8895-1615",45,3,"S",1011,"o","o","chip","chip",6,2.9,6.8,"n","","",""
"8895-1625-S-L1098",708896.7,3971629.4,"grid","8895-1625",45,3,"S",1098,"o","o","shatter","shatter",2.4,4.3,5.9,"n","","",""
"8895-1625-S-L1099",708896.7,3971625.3,"grid","8895-1625",45,3,"S",1099,"o","o","blade","distal blade segment",11.2,2.1,12.2,"n","","",""
"8905-1575-S-L1153",708903.7,3971576,"grid","8905-1575",15,3,"S",1153,"o","o","blade","blade fragment",10.7,3,5.9,"n","","",""
"8905-1575-S-L1154",708908.4,3971575.1,"grid","8905-1575",15,3,"S",1154,"o","o","flake","flake fragment",11.7,2.8,10.1,"n","","",""
"8905-1575-S-L1155",708905.3,3971570.2,"grid","8905-1575",15,3,"S",1155,"wc","c","flake","flake fragment",13.3,6.4,11,"n","","",""
"8905-1575-V-L1184",708909.6,3971579.3,"grid","8905-1575",15,3,"V",1184,"o","o","blade","blade fragment",8.3,6.6,15.3,"n","","",""
"8905-1575-V-L1185",708900.8,3971574.4,"grid","8905-1575",15,3,"V",1185,"wc","c","flake","flake fragment",11,2.8,14.5,"n","","",""
"8905-1575-V-L1186",708907.5,3971578.1,"grid","8905-1575",15,3,"V",1186,"wc","c","shatter","shatter",7.2,5,4.9,"n","","",""
"8905-1585-V-L1107",708903.5,3971588.3,"grid","8905-1585",4,3,"V",1107,"o","o","shatter","shatter",16.3,3.7,14.8,"other retouched tools","scraper","",""
"8905-1595-S-L1109",708907.3,3971592.9,"grid","8905-1595",4,3,"S",1109,"o","o","flake","broken flake",11.1,4.6,17.3,"n","","",""
"8905-1595-S-L1110",708908.3,3971598.3,"grid","8905-1595",4,3,"S",1110,"o","o","flake","flake fragment",11.3,2.4,11.1,"n","","",""
"8905-1595-V-L1118",708803.3,3971592.6,"grid","8905-1595",69,3,"V",1118,"o","o","blade","proximal blade segment",27.5,4.9,13.9,"n","","",""
"8905-1605-S-L1088",708900.7,3971600.1,"grid","8905-1605",4,3,"S",1088,"o","o","flake","flake",11.8,1.3,9.3,"n","","",""
"8905-1615-S-L1012",708908.6,3971617.1,"grid","8905-1615",4,3,"S",1012,"o","o","flake","flake fragment",13,3.8,16.8,"retouched flake","marginal","",""
"8905-1615-S-L1013",708909.8,3971613.5,"grid","8905-1615",4,3,"S",1013,"wc","c","shatter","shatter",18.7,7.9,13.6,"n","","",""
"8905-1615-S-L1014",708900.2,3971611.6,"grid","8905-1615",4,3,"S",1014,"wc","c","shatter","shatter",8,4,10.3,"n","","",""
"8905-1615-S-L1015",708907.5,3971617.4,"grid","8905-1615",4,3,"S",1015,"wc","c","flake","broken flake",10.2,2.5,11.4,"n","","",""
"8905-1615-S-L1016",708906.4,3971613.9,"grid","8905-1615",4,3,"S",1016,"o","o","blade","blade segment",12.4,2.6,5.9,"n","","",""
"8905-1615-S-L1017",708901.8,3971614.9,"grid","8905-1615",4,3,"S",1017,"o","o","flake","flake fragment",12.9,2.3,8.1,"n","","",""
"8905-1615-S-L1018",708908.9,3971615,"grid","8905-1615",4,3,"S",1018,"o","o","shatter","shatter",12.1,2.4,5.8,"n","","",""
"8905-1615-S-L1019",708904.5,3971610.8,"grid","8905-1615",4,3,"S",1019,"o","o","flake","flake fragment",6.1,1.4,6.6,"n","","",""
"8905-1615-S-L1020",708906.4,3971619.4,"grid","8905-1615",4,3,"S",1020,"o","o","flake","flake fragment",9.3,3.2,12.6,"n","","",""
"8905-1625-S-L1101",708909.5,3971629.4,"grid","8905-1625",15,3,"S",1101,"wc","c","flake","flake fragment",18.5,5.9,13.3,"n","","",""
"8905-1625-S-L1102",708906.9,3971626.9,"grid","8905-1625",15,3,"S",1102,"wc","c","flake","flake fragment",9.8,2.3,13.4,"n","","",""
"8905-1625-S-L1103",708907.6,3971622.7,"grid","8905-1625",15,3,"S",1103,"o","o","indeterminate","indet",10.7,4.1,7.7,"biface fragment","projectile fragment","n","tip only"
"8905-1625-S-L1104",708904.9,3971624.6,"grid","8905-1625",15,3,"S",1104,"wc","c","shatter","shatter",5.5,4.4,4.6,"n","","",""
"8905-1625-S-L1105",708901.5,3971623.7,"grid","8905-1625",15,3,"S",1105,"o","o","blade","proximal blade fragment",12.2,2,7.2,"n","","",""
"8905-1625-S-L1106",708901.7,3971624.9,"grid","8905-1625",15,3,"S",1106,"o","o","blade","proximal blade fragment",13.5,3,9,"n","","",""
"8905-1625-V-L1096",708904.2,3971628.8,"grid","8905-1625",15,3,"V",1096,"o","o","blade","blade segment",13.8,3.4,6,"retouched blade","marginal","",""
"8905-1625-V-L1097",708901.3,3971627.4,"grid","8905-1625",15,3,"V",1097,"wc","c","flake","flake fragment",15.5,5.1,10.6,"n","","",""
"8925-1565-V-L1044",708928.2,3971566,"grid","8925-1565",49,3,"V",1044,"wc","c","flake","broken flake",15.3,4.3,12.7,"n","","",""
"8935-2965-V-L2513",708938.1,3972966.3,"grid","8935-2965",111,53,"V",2513,"o","o","blade","blade segment",10.5,1.8,7.3,"n","","",""
"8935-9625-S-L2503",708930.7,3969623.6,"grid","8935-9625",111,53,"S",2503,"wc","c","core","bipolar core/pe",33,12.6,21.5,"n","","",""
"8935-9625-S-L2504",708932.5,3969628.2,"grid","8935-9625",111,53,"S",2504,"wc","c","shatter","shatter",21.3,11.7,20,"n","","",""
"8935-9625-S-L2505",708934.5,3969626.4,"grid","8935-9625",111,53,"S",2505,"wc","c","shatter","shatter/pe",26.6,8.7,16,"pe","pe","",""
"8935-9625-S-L2506",708934.3,3969628.8,"grid","8935-9625",111,53,"S",2506,"wc","c","shatter","shatter",20.8,16.9,11,"n","","",""
"8935-9665-S-L2509",708936.6,3969665,"grid","8935-9665",112,53,"S",2509,"Ba","c","blade","blade segment",34.5,7,15.6,"n","","",""
"8945-9625-S-L2514",708945.9,3969629.9,"grid","8945-9625",112,53,"S",2514,"wc","c","shatter","shatter",21.2,6.1,13.4,"n","","",""
"8945-9625-S-L2515",708942,3969624.8,"grid","8945-9625",112,53,"S",2515,"o","o","flake","flake",13.7,2.5,7.7,"n","","",""
"8945-9625-S-L2516",708942.7,3969623,"grid","8945-9625",112,53,"S",2516,"o","o","flake","flake fragment",5.7,1.7,7.8,"n","","",""
"8945-9625-S-L2517",708947.2,3969629.9,"grid","8945-9625",112,53,"S",2517,"o","o","flake","flake fragment",10.9,1.9,6.1,"n","","",""
"8945-9645-S-L2502",708949.4,3969647.5,"grid","8945-9645",111,53,"S",2502,"wc","c","flake","flake fragment",13,5.5,17,"n","","",""
"8945-9675-V-L2508",708941.7,3969673,"grid","8945-9675",111,53,"V",2508,"wc","c","flake","flake fragment",32.2,5.7,16,"n","","",""
"8955-9625-S-L2510",708956.6,3969625.8,"grid","8955-9625",101,53,"S",2510,"o","o","shatter","shatter",11.3,4.2,11.4,"n","","",""
"8955-9625-S-L2511",708953,3969627.4,"grid","8955-9625",101,53,"S",2511,"o","o","flake","broken flake",10.1,2.7,9.6,"n","","",""
"8955-9655-V-L2497",708957.9,3969650.1,"grid","8955-9655",112,53,"V",2497,"o","o","core","flake core fragment",28,13.7,16.4,"n","","",""
"8965-9645-S-L2496",708960.2,3969644.4,"grid","8965-9645",111,53,"S",2496,"wc","c","shatter","shatter",21,9.1,10.5,"n","","",""
"8965-9655-S-L2498",708965.1,3969657.6,"grid","8965-9655",5,53,"S",2498,"o","o","shatter","shatter/pe",10.5,2.8,7.2,"pe","pe","",""
"8965-9655-S-L2499",708963.1,3969654.4,"grid","8965-9655",5,53,"S",2499,"o","o","blade","blade segment",11.6,2.1,8.9,"n","","",""
"8975-9645-S-L2507",708977,3969641.4,"grid","8975-9645",114,53,"S",2507,"wc","c","shatter","shatter",38.3,5.1,29.2,"other retouched tools","scraper","",""
"8975-9655-S-L2500",708976.2,3969651.2,"grid","8975-9655",105,53,"S",2500,"wc","c","indeterminate","indet",31.2,6.4,13.3,"biface","biface","y","near complete"
"8975-9655-S-L2501",708976.7,3969657.9,"grid","8975-9655",105,53,"S",2501,"wc","c","shatter","shatter/pe",34.7,8.3,27.5,"pe","pe","",""
"8985-3085-S-L2376",708986.6,3973085.4,"grid","8985-3085",21,44,"S",2376,"o","o","chip","chip",7.2,0.8,7,"n","","",""
"8985-3085-S-L2377",708987.2,3973089,"grid","8985-3085",21,44,"S",2377,"wc","c","shatter","shatter",12,3.7,8.2,"n","","",""
"8985-3085-V-L2348",708980.4,3973089.2,"grid","8985-3085",21,44,"V",2348,"o","o","blade","distal blade fragment",15.4,3.5,10.3,"n","","",""
"8985-3085-V-L2349",708981.2,3973084.6,"grid","8985-3085",21,44,"V",2349,"o","o","shatter","shatter",19.6,3.7,6.6,"pe","pe","",""
"8985-3095-S-L2341",708989.6,3973094.1,"grid","8985-3095",14,44,"S",2341,"o","o","blade","blade segment",15.1,2.9,12,"n","","",""
"8985-3095-S-L2342",708989.8,3973095,"grid","8985-3095",14,44,"S",2342,"o","o","flake","flake fragment",11.6,2.7,8.7,"n","","",""
"8985-3095-S-L2343",708989.5,3973098,"grid","8985-3095",14,44,"S",2343,"o","o","blade","blade segment",8.4,1.7,7.9,"n","","",""
"8985-3095-S-L2344",708988.1,3973092.2,"grid","8985-3095",14,44,"S",2344,"o","o","shatter","shatter",4.7,2.2,4.2,"n","","",""
